Company Name	Address Line 1	Address Line 2	City	Country	URL 1	URL 2	URL 3
Texplast Industries Limited	Near Magana Flowers,  Lr No 12833/7, Magana Lane	Off Naivasha Road, Before Kikuyu Town	Nairobi	Kenya			
Rift Valley Bottlers Ltd	Somali Road	Uasin Gishu County	Eldoret	Kenya			
Kilifi Plantations Ltd	P O Box Private Bag Kilifi,  Malindi Road	Kikambala	Kilifi	Kenya			
Equator Bottles Limited	Off Airport Road.,  Nkrumah Road	Next To The Airport Near Kenya Pipeline	Kisumu	Kenya			
Sameer Agriculture And Livestock Limited (Sall)	Olesoi Road	Off Lunga Lunga Road	Nairobi	Kenya			
Remote Site Solutions Kenya Epz Limited	Nkrumah Rd		Mombassa	Kenya			
Pembe Flour Mills Limited	Lunga Lunga Road		Nairobi	Kenya			
Tata Chemicals Magadi Limited	Lake Magadi.120	Kms South West Of Nairobi	Magadi	Kenya			
K-Rep Bank Limited	Kilimani Lavington K-Rep Center		Nairobi	Kenya			
Twiga Chemical Industries Limited	Lr No. 209/3893, Ol-Kalou Road	Off Nanyuki Road, Landimawe, Industrial Area	Nairobi	Kenya			
Baobab Beach Resort Mombasa Ltd	Diani Beach	South Of Mombasa	Ukunda	Kenya			
Sos Childrens Villages Kenya	Marcus Garvey Road		Nairobi	Kenya			
Kuehne+Nagel Limited	Kuehne + Nagel Building Jomo Kenyatta International Airport (J.K	Specialized Freight Road	Nairobi	Kenya			
Metro Plastics Kenya Ltd	Building 10 Nadume Close/Makungi Close	Off Lunga Lunga Road, Industrial Area	Nairobi	Kenya			
Milly Glass Works Ltd	Liwatoni Road		Mombasa	Kenya			
Kenya Aerotech Ltd	Jomo Kenyatta	International Airport	Nairobi	Kenya			
Marie Stopes Kenya	Kindaruma Road		Nairobi	Kenya			
Ol Pejeta Ranching Ltd	Po Box 167,  Lamuria Division	Nanyuki	Laikipia District	Kenya			
Kenya Institute Of Education	Desai-Rwathia Road		Nairobi	Kenya			
Crown Berger Kenya Limited	Likoni Road	Industrial Area	Nairobi	Kenya			
Accesskenya Group Limited	Westlands Road		Nairobi	Kenya			
Kenya Medical Supplies Authority	13 Commercial Street	Industrial Area	Nairobi	Kenya			
Mjengo Limited	Off General Kago Road	Behind Bidco Oil Refineries	Nairobi	Kenya			
Manchester Outfitters (E.A) Limited	Manchester Outfitters Building Off Dunga Road		Nairobi	Kenya			
Internet Solutions Kenya	Westlands Road		Nairobi	Kenya			
L'oreal East Africa Ltd	Laiboni Centre Lenana Road		Nairobi	Kenya			
Kpmg Kenya	Abc Towers Waiyaki Way		Nairobi	Kenya			
The United Textile Industries Kenya Ltd	Standard Bank Chambers,  Kimathi Street		Nairobi	Kenya			
Simba Corporation Limited	Chiromo Road		Nairobi	Kenya			
Kenya Medical Research Institute	Kemri Complex Off Mbagathi Road	Woodley / Kenyatta Golf Course, Ngumo Estate	Nairobi	Kenya			
Simba Corporation Limited	Simba Colt Complex Mombasa Road	Opposite Panari Hotel	Nairobi	Kenya			
Trufoods Limited	Jogoo Road		Nairobi	Kenya			
Tile & Carpet Centre Limited	Parkside Towers	Mombasa Road	Nairobi	Kenya			
Nairobi Serena Hotel	Kenyatta Av Processional Way		Nairobi	Kenya			
Biselex Kenya Limited	Avon Centre Enterprise Road	Industrial Area	Nairobi	Kenya			
Unga Farm Care E A Limited	Ngano House Commercial Street		Nairobi	Kenya			
Dhanush Infotech Limited	Rahimtulla Towers Upper Hill Road 4		Nairobi	Kenya			
Allpack Industries Limited	Near Weighbridge,  Opp Orbit Chemicals	Mavoko Council, Off Mombasa Road	Athi River	Kenya			
Kenya Urban Roads Authority	Ikm Place, 5Th Ngong Avenue		Nairobi	Kenya			
Deloitte Consulting Limited	Deloitte Place	Waiyaki Way	Nairobi	Kenya			
Butali Sugar Mills Ltd	Kakamega		Webuye	Kenya			
Mombasa Continental Resort	Shanzu Road	Off Msa -Malindi Road	Mombosa	Kenya			
Foam Mattress Ltd	Opposite Sila Filling Station,  Odera Street, Road A	Kamas	Kisumu	Kenya			
Kenya Medical Supplies Authority	Commercial Street		Nairobi	Kenya			
Victoria Furnitures Ltd	Victoria House Parklands Road, Westlands		Nairobi	Kenya			
Eldoret Steel Mills Limited	Kambi Somali Road		Eldoret	Kenya			
African Cotton Industries Limited	Mombasa Road	Behind Weighbridge Site	Nairobi	Kenya			
Broadway Bakery Limited	Plot Number 4953 / 1201 Factory Road		Thika	Kenya			
Fidelity Security Ltd	Lenana Road		Nairobi	Kenya			
Cooperative University	Karen		Nairobi	Kenya			
The Co-Operative University College Of Kenya	Ufundi Co-Op Plaza  Moi Ave		Nairobi	Kenya			
National Insurance Corporation Ltd	Plot 3,  Pilkington Road		Kampala	Kenya			
Aga Khan University Hospital	Aga Khan Building 3Rd Parklands Avenue	Limuru Road	Nairobi	Kenya			
Kenya Seed Company Ltd	Wamalwa Street		Kitale	Kenya			
